iter	Passed	Remaining
0	2	217
1	3	188
2	5	179
3	7	169
4	9	175
5	18	289
6	20	266
7	21	248
8	23	234
9	24	223
10	30	249
11	32	239
12	34	229
13	35	220
14	37	211
15	38	204
16	40	197
17	43	198
18	45	192
19	46	187
20	48	182
21	49	176
22	51	172
23	54	172
24	57	171
25	58	167
26	60	164
27	62	159
28	63	156
29	65	152
30	67	149
31	75	160
32	79	160
33	80	156
34	82	152
35	87	156
36	89	152
37	91	149
38	92	145
39	94	141
40	96	138
41	96	133
42	99	132
43	103	131
44	105	128
45	106	125
46	108	122
47	109	118
48	111	116
49	116	116
50	118	114
51	120	111
52	122	108
53	123	105
54	124	102
55	126	99
56	127	96
57	131	94
58	132	92
59	134	89
60	136	86
61	137	84
62	139	81
63	145	82
64	147	79
65	149	77
66	151	74
67	153	72
68	155	69
69	160	68
70	163	66
71	164	64
72	166	61
73	168	59
74	170	56
75	176	55
76	178	53
77	180	50
78	181	48
79	183	45
80	185	43
81	188	41
82	191	39
83	193	36
84	195	34
85	196	32
86	198	29
87	200	27
88	205	25
89	207	23
90	209	20
91	211	18
92	212	16
93	214	13
94	215	11
95	221	9
96	223	6
97	224	4
98	226	2
99	228	0
